日期,收盘,开盘,高,低,交易量,涨跌幅,自杀人数,因财政自杀人数
2025/4/6,"20,914.69","20,888.00","21,219.00","19,120.50",41.53B,-8.47%,24,6
2025/3/30,"22,849.81","23,207.07","23,456.58","22,638.21",16.56B,-2.46%,20,5
2025/3/23,"23,426.60","23,749.58","23,967.51","23,254.30",18.07B,-1.11%,17,3
2025/3/16,"23,689.72","24,226.00","24,874.39","23,577.78",19.84B,-1.13%,21,1
2025/3/9,"23,959.98","24,115.98","24,292.80","23,198.73",18.36B,-1.12%,16,5
2025/3/2,"24,231.30","23,135.12","24,669.62","22,547.53",22.13B,5.62%,20,0
2025/2/23,"22,941.32","23,472.14","24,076.53","22,716.48",27.69B,-2.29%,16,4
2025/2/16,"23,477.92","22,755.06","23,477.92","22,319.32",26.41B,3.79%,19,3
2025/2/9,"22,620.33","21,223.61","22,620.33","21,223.61",24.74B,7.04%,21,2
2025/2/2,"21,133.54","20,048.87","21,213.70","19,764.67",15.13B,4.49%,11,4
2025/1/26,"20,225.11","20,118.02","20,337.46","20,118.02",3.70B,0.79%,12,1
2025/1/19,"20,066.19","19,804.64","20,205.25","19,644.83",13.73B,2.46%,18,3
2025/1/12,"19,584.06","18,918.15","19,664.39","18,671.49",13.19B,2.73%,9,2
2025/1/5,"19,064.29","19,848.71","19,851.55","19,036.64",14.34B,-3.52%,16,2
2024/12/29,"19,760.27","20,124.75","20,193.09","19,542.98",11.87B,-1.64%,22,3
2024/12/22,"20,090.46","19,843.65","20,184.88","19,746.46",8.52B,1.87%,15,2
2024/12/15,"19,720.70","19,947.23","20,049.21","19,591.49",13.66B,-1.25%,22,5
2024/12/8,"19,971.24","19,732.28","21,070.05","19,695.51",16.62B,0.53%,15,2
2024/12/1,"19,865.85","19,442.31","19,934.72","19,386.82",13.11B,2.28%,22,6
2024/11/24,"19,423.61","19,307.34","19,660.99","19,054.40",13.79B,1.01%,17,2
2024/11/17,"19,229.97","19,595.50","19,781.08","19,134.59",13.08B,-1.01%,16,2
2024/11/10,"19,426.34","20,258.14","20,517.24","19,332.34",17.09B,-6.28%,24,3
2024/11/3,"20,728.19","20,584.45","21,355.44","20,361.92",17.99B,1.08%,20,0
2024/10/27,"20,506.43","20,592.74","20,890.08","20,270.07",16.26B,-0.41%,15,3
2024/10/20,"20,590.15","20,730.95","20,942.26","20,380.04",15.58B,-1.03%,26,3
2024/10/13,"20,804.11","21,228.65","21,348.86","19,977.35",23.04B,-2.11%,19,2
2024/10/6,"21,251.98","22,948.35","23,241.74","20,190.53",30.35B,-6.53%,28,6
2024/9/29,"22,736.87","21,175.41","22,742.36","20,789.93",27.62B,10.20%,26,3
2024/9/22,"20,632.30","18,237.41","20,743.20","18,212.58",32.32B,13.00%,21,1
2024/9/15,"18,258.57","17,252.77","18,355.15","17,177.08",10.24B,5.12%,18,1
2024/9/8,"17,369.09","17,261.89","17,540.81","16,964.28",14.21B,-0.43%,26,7
2024/9/1,"17,444.30","17,862.59","17,862.59","17,332.49",10.71B,-3.03%,27,5
2024/8/25,"17,989.07","17,798.73","18,202.60","17,687.93",4.75B,2.14%,18,6
2024/8/18,"17,612.10","17,614.62","17,641.00","17,391.01",2.05B,1.04%,23,2
2024/8/11,"17,430.16","17,098.70","17,473.89","17,095.01",2.55B,1.99%,22,3
2024/8/4,"17,090.23","16,698.36","17,252.22","16,647.34",2.15B,0.85%,17,0
2024/7/28,"16,945.51","17,247.11","17,408.95","16,865.93",2.43B,-0.45%,15,1
2024/7/21,"17,021.31","17,639.12","17,639.12","16,924.58",2.37B,-2.28%,17,2
2024/7/14,"17,417.68","18,162.50","18,230.00","17,376.23",2.81B,-4.79%,27,3
2024/7/7,"18,293.38","17,623.00","18,317.31","17,440.00",3.06B,2.77%,24,1
2024/6/30,"17,799.61","17,669.42","18,133.30","17,669.42",12.35B,0.46%,17,0
2024/6/23,"17,718.61","17,906.36","18,231.46","17,583.19",12.99B,-1.72%,27,3
2024/6/16,"18,028.52","17,848.87","18,520.37","17,752.96",14.29B,0.48%,26,4
2024/6/9,"17,941.78","18,163.12","18,267.69","17,848.76",11.62B,-2.31%,16,2
2024/6/2,"18,366.95","18,283.56","18,724.62","18,283.56",15.47B,1.59%,18,1
2024/5/26,"18,079.61","18,606.02","19,000.52","18,077.39",17.38B,-2.84%,17,3
2024/5/19,"18,608.94","19,621.43","19,706.12","18,532.41",16.57B,-4.83%,22,1
2024/5/12,"19,553.61","18,904.58","19,602.24","18,827.60",17.41B,3.11%,22,0
2024/5/5,"18,963.68","18,488.55","18,993.28","18,278.11",18.26B,2.64%,21,5
2024/4/28,"18,475.92","17,737.93","18,604.17","17,679.19",13.43B,4.67%,19,4
2024/4/21,"17,651.15","16,410.83","17,758.24","16,410.83",16.22B,8.80%,14,1
2024/4/14,"16,224.14","16,487.36","16,647.09","16,044.45",14.73B,-2.98%,16,2
